,Скважина,Наличие ГТМ,Тип ГТМ,Дата начала,Дата окончания,Обоснование
40,8822,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
41,8859,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
42,9128,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
43,9423,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
44,9430,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
45,9854,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
46,10013,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
47,10083,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
48,10312,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
49,10523,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
50,10552,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
51,10591,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
52,10613,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
53,10629,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
54,10817,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
55,10939,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
56,11057С,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
57,11082,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
58,11086,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
59,11089,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
60,11130,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
61,11138,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
62,11138С,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
63,11183,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
64,11205,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
65,11220,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
66,11304,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
67,11446,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
68,11453,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
69,11465,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
70,11466,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
71,11470,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
72,11478,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
73,11483,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
74,11495,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
75,11572,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
76,11588,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
77,11626,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
78,11629,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
79,11650,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
80,11720,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
81,11734,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
82,11831,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
83,11853,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
84,11970,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
85,12067,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
86,12180,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
87,12208,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
88,12348Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
89,12430,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
90,12514,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
91,12517,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
92,12559,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
93,12687,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
94,12842,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
95,12898,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
96,12904,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
97,12954,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
98,12962Е,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
99,13136,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
100,13232,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
101,13245,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
102,13255,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
103,13769,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
104,13834,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
105,13904,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
106,14135,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
107,14362,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
108,14532,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
109,14673,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
110,15025,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
111,15030,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
112,15112,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
113,15242,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
114,15433,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
115,15510,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
116,15694,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
117,15704,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
118,15738,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
119,15756,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
120,15757,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
121,15762,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
122,15817,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
123,15828,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
124,15831,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
125,15891,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
126,16332,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
127,16352,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
128,16606,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
129,16628,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
130,16664,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
131,16672,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
132,16785,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
133,16795,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
134,16827,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
135,16830,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
136,16852,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
137,16919,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
138,16971,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
139,17051,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
140,17121,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
141,17137,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
142,17418,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
143,17526,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
144,17557,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
145,17564,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
146,17577,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
147,17580,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
148,17624,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
149,17705,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
150,17733,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
151,18019,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
152,18422,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
153,18436,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
154,18741,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
155,18836,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
156,18867,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
157,19180,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
158,19411,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
159,19675,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
160,25108,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
161,25115,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
162,25216,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
163,25253,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
164,25300,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
165,25322,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
166,25339,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
167,25521,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
168,25540,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
169,25790,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
170,25961,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
171,26489,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
172,26519,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
173,26994,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
174,27327,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
175,27348,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
176,27490,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
177,28125,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
178,29630,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
179,30020,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
180,30051,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
181,30090,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
182,30103,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
183,30154,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
184,30224,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
185,30473Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
186,30487,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
187,30540,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
188,30583,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
189,30619,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
190,30633,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
191,30647,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
192,31126,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
193,31128,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
194,31206,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
195,31219,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
196,31416,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
197,31505,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
198,32139,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
199,32453,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
200,32531,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
201,32543,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
202,32724,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
203,32879,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
204,32982,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
205,33059,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
206,33306,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
207,34787,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
208,35002,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
209,35171,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
210,35299,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
211,35305,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
212,35546,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
213,35560,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
214,35594,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
215,35672,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
216,35685,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
217,35690,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
218,35762,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
219,35778,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
220,35827,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
221,35874,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
222,35972,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
223,35999,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
224,36002,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
225,36008,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
226,36084,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
227,36112,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
228,36139,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
229,36200,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
230,36234,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
231,36282,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
232,36442,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
233,36906,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
234,37001,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
235,37023,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
236,37032,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
237,37096,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
238,37245,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
239,37258,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
240,37270,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
241,37275,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
242,37284,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
243,37295,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
244,37297,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
245,37300,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
246,37303,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
247,37313,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
248,37364,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
249,37506,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
250,37513,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
251,37575,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
252,37670,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
253,37797,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
254,37811,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
255,37812,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
256,37813,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
257,37846,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
258,37982,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
259,38024,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
260,38028,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
261,38098,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
262,38102,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
263,38164,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
264,38184,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
265,38232,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
266,38298,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
267,38601,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
268,38617,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
269,38907,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
270,39001,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
271,39010,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
272,39017,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
273,39028,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
274,39077,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
275,39142,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
276,39209,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
277,39321,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
278,40002,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
279,40005,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
280,40059ЕБ,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
281,40090,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
282,40107,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
